Thu Apr 26 21:03:44 2018	Sat=0	Over=0	Time=9	Bird_in=4179	Bird_out=3288	temp=80.1'C
Thu Apr 26 21:08:44 2018	Sat=0	Over=0	Time=11	Bird_in=4181	Bird_out=3289	temp=80.1'C
Thu Apr 26 21:13:44 2018	Sat=0	Over=0	Time=11	Bird_in=4181	Bird_out=3289	temp=80.6'C
Thu Apr 26 21:18:44 2018	Sat=0	Over=0	Time=12	Bird_in=4185	Bird_out=3291	temp=80.6'C
Thu Apr 26 21:23:44 2018	Sat=0	Over=0	Time=11	Bird_in=4187	Bird_out=3294	temp=81.1'C
Thu Apr 26 21:28:44 2018	Sat=3	Over=0	Time=11	Bird_in=4187	Bird_out=3295	temp=81.1'C
Thu Apr 26 21:33:44 2018	Sat=0	Over=0	Time=11	Bird_in=4189	Bird_out=3295	temp=80.1'C
Thu Apr 26 21:38:44 2018	Sat=0	Over=0	Time=10	Bird_in=4189	Bird_out=3295	temp=80.1'C
Thu Apr 26 21:43:44 2018	Sat=0	Over=0	Time=11	Bird_in=4191	Bird_out=3295	temp=80.6'C
Thu Apr 26 21:48:44 2018	Sat=0	Over=0	Time=11	Bird_in=4191	Bird_out=3295	temp=80.6'C
Thu Apr 26 21:51:33 2018	Sat=0	Over=0	Time=12	Bird_in=0	Bird_out=0	temp=74.1'C
Thu Apr 26 21:54:52 2018	Sat=0	Over=0	Time=12	Bird_in=0	Bird_out=0	temp=73.1'C
Thu Apr 26 21:58:04 2018	Sat=0	Over=0	Time=14	Bird_in=0	Bird_out=0	temp=72.0'C
Thu Apr 26 22:03:04 2018	Sat=0	Over=0	Time=10	Bird_in=3	Bird_out=1	temp=79.5'C
Thu Apr 26 22:08:04 2018	Sat=0	Over=0	Time=11	Bird_in=3	Bird_out=4	temp=80.1'C
Thu Apr 26 22:13:04 2018	Sat=1	Over=0	Time=10	Bird_in=6	Bird_out=5	temp=80.6'C
Thu Apr 26 22:18:04 2018	Sat=0	Over=0	Time=9	Bird_in=7	Bird_out=6	temp=80.1'C
Thu Apr 26 22:23:04 2018	Sat=0	Over=0	Time=11	Bird_in=8	Bird_out=6	temp=81.1'C
Thu Apr 26 22:28:04 2018	Sat=0	Over=0	Time=11	Bird_in=9	Bird_out=6	temp=80.1'C
Thu Apr 26 22:33:04 2018	Sat=0	Over=0	Time=12	Bird_in=9	Bird_out=7	temp=80.6'C
Thu Apr 26 22:38:04 2018	Sat=0	Over=0	Time=10	Bird_in=9	Bird_out=7	temp=80.6'C
Thu Apr 26 22:44:41 2018	Sat=0	Over=0	Time=13	Bird_in=0	Bird_out=0	temp=71.4'C
Thu Apr 26 22:46:17 2018	Sat=0	Over=0	Time=11	Bird_in=0	Bird_out=0	temp=70.9'C
Thu Apr 26 22:51:16 2018	Sat=2	Over=0	Time=9	Bird_in=9	Bird_out=6	temp=79.5'C
Thu Apr 26 22:54:24 2018	Sat=0	Over=0	Time=12	Bird_in=0	Bird_out=0	temp=68.2'C
Thu Apr 26 22:59:24 2018	Sat=0	Over=0	Time=11	Bird_in=0	Bird_out=0	temp=71.4'C
Thu Apr 26 23:04:24 2018	Sat=0	Over=0	Time=10	Bird_in=0	Bird_out=0	temp=79.5'C
Thu Apr 26 23:13:30 2018	Sat=0	Over=0	Time=13	Bird_in=0	Bird_out=0	temp=63.4'C
Thu Apr 26 23:15:50 2018	Sat=0	Over=0	Time=13	Bird_in=0	Bird_out=0	temp=72.0'C
Thu Apr 26 23:17:47 2018	Sat=0	Over=0	Time=14	Bird_in=0	Bird_out=0	temp=74.1'C
Thu Apr 26 23:19:15 2018	Sat=0	Over=0	Time=11	Bird_in=0	Bird_out=0	temp=74.7'C
Thu Apr 26 23:24:01 2018	Sat=0	Over=0	Time=14	Bird_in=0	Bird_out=0	temp=66.1'C
Thu Apr 26 23:25:00 2018	Sat=0	Over=0	Time=13	Bird_in=0	Bird_out=0	temp=70.9'C
Thu Apr 26 23:26:00 2018	Sat=0	Over=0	Time=15	Bird_in=0	Bird_out=0	temp=72.0'C
Thu Apr 26 23:27:15 2018	Sat=0	Over=0	Time=12	Bird_in=0	Bird_out=0	temp=72.0'C
Thu Apr 26 23:28:18 2018	Sat=0	Over=0	Time=13	Bird_in=0	Bird_out=0	temp=73.6'C
Thu Apr 26 23:29:31 2018	Sat=0	Over=0	Time=14	Bird_in=0	Bird_out=0	temp=74.1'C
Thu Apr 26 23:31:56 2018	Sat=0	Over=0	Time=12	Bird_in=0	Bird_out=0	temp=75.2'C
Thu Apr 26 23:32:54 2018	Sat=0	Over=0	Time=18	Bird_in=0	Bird_out=0	temp=75.8'C
Thu Apr 26 23:35:50 2018	Sat=0	Over=0	Time=14	Bird_in=0	Bird_out=0	temp=76.3'C
Thu Apr 26 23:37:02 2018	Sat=0	Over=0	Time=14	Bird_in=0	Bird_out=0	temp=75.2'C
Thu Apr 26 23:39:13 2018	Sat=0	Over=0	Time=11	Bird_in=0	Bird_out=0	temp=76.3'C
Thu Apr 26 23:42:37 2018	Sat=0	Over=0	Time=14	Bird_in=0	Bird_out=0	temp=77.9'C
Thu Apr 26 23:44:25 2018	Sat=0	Over=0	Time=13	Bird_in=0	Bird_out=0	temp=77.4'C
Thu Apr 26 23:46:06 2018	Sat=0	Over=0	Time=14	Bird_in=0	Bird_out=0	temp=77.4'C
Thu Apr 26 23:51:06 2018	Sat=0	Over=0	Time=9	Bird_in=0	Bird_out=0	temp=80.1'C
Thu Apr 26 23:56:06 2018	Sat=0	Over=0	Time=9	Bird_in=0	Bird_out=2	temp=80.6'C
